Date,Location,Aboard,Fatalities
1/5/2000,"Abuja, Nigeria",16,1
1/10/2000,"Niederhasli, Switzerland",10,10
1/13/2000,"Off Marsa el-Brega, Libya",41,22
1/15/2000,"San Jose, Costa Rica",20,5
1/25/2000,"Near Ankara, Turkey",4,4
1/30/2000,"Off Abidjan, Ivory Coast",179,169
4/19/2000,"Pepa ,Congo",24,24
7/2/2000,"Off Cagayancillo, Philippines",15,14
1/31/2000,"Off Point Mugu, California",88,88
2/2/2000,"Tehran, Iran",8,8
2/5/2000,"Iliamna, Alaska",6,6
2/16/2000,"Sacramento, California",3,3
3/5/2000,"Burbank, Calilfornia",142,0
3/9/2000,"Moscow, Russia",9,9
3/17/2000,"Ennadai Lake, Canada",2,2
3/17/2000,"Near Kuna Yala, Panama",10,10
3/22/2000,"Herreira, Spain",,
3/24/2000,"Kadirana, Sri Lanka",8,6
3/25/2000,"Huambo, Angola",33,3
4/1/2000,"Near Gualeguaychu, Argentina",1,1
6/23/2000,"Boca Raton, Florida",3,3
4/19/2000,"Samal Island, Philippines",131,131
4/29/2000,"Bapi, Papua New Guinea",4,4
5/2/2000,"Lyon Satolas, France",5,2
5/3/2000,"Kurupung, Guyana",1,1
5/10/2000,"Kaunakakai, Hawaii",6,6
5/17/2000,"Moanda, Gabon",10,3
5/21/2000,"Near Wilkes-Barre, Pennsylvania",19,19
5/25/2000,"Near Manila, Philippines",298,1
5/25/2000,"Paris, France",2,1
5/31/2000,"Off Whyalla, Australia",8,8
6/5/2000,"Accra, Ghana",52,7
6/14/2000,"Liverpool, England",5,5
6/21/2000,"Cuiaba, Brazil",4,4
6/22/2000,"Shitai, China",44,44
6/27/2000,"Off Shimano, Japan",5,5
7/8/2000,"Near Villahermosa, Mexico",19,19
7/9/2000,"Villavicencio, Colombia",19,13
7/13/2000,"Raleigh, North Carolina",3,1
7/17/2000,"Patna, India",58,55
7/19/2000,"Linneus, Maine",2,2
7/20/2000,"Nassau, Bahamas",2,2
7/21/2000,"Maui, Hawaii",7,7
7/25/2000,"Gonesse, France",109,109
7/26/2000,"Mafraq, Jordan",13,13
7/27/2000,"Jodhura, Nepal",25,25
8/2/2000,"Cubatao, Brazil",6,6
8/6/2000,"Puerto Montt, Chile",14,14
8/9/2000,"Burlington Township, New Jersey",11,11
8/12/2000,"Near Tshikapa, Congo",27,27
8/14/2000,"Teslin Lake, British Columbia, Canada",2,2
8/15/2000,"Lumber City, Georgia",3,3
8/23/2000,"Off Manama, Bahrain",143,143
8/25/2000,"Hilo Bay, Hawaii",9,1
8/26/2000,"Near La Fortuna, Costa Rica",10,10
9/2/2000,"Mount Montezuma, Colombia",7,7
9/4/2000,"Near Burketown, Australia",8,8
9/16/2000,"Kumarapura, Sri Lanka",14,14
9/18/2000,"Nuiqsut, Alaska",10,5
10/6/2000,"Reynosa, Mexico",88,0
12/11/2000,"Near Sumacal, Beni, BO",6,6
10/8/2000,"Port Radium, Northwest Territories, Canada",3,3
10/9/2000,"Lummi Island, Washington",1,1
10/10/2000,"Wichita, Kansas",3,2
10/16/2000,"Hillsboro, Missouri",3,3
10/19/2000,"Near Sam Neua, Laos",17,8
10/25/2000,"Near Batumi, Republiof Georgia",86,86
10/31/2000,"Taipei, Taiwan",179,83
10/31/2000,"Near Monaquimbundo, Angola",44,44
11/7/2000,"Luabo, DemocratiRepubliCongo",11,2
11/9/2000,"Fort Wayne, Indiana",1,1
11/15/2000,"Near Luanda, Angola",57,57
11/20/2000,"Miami, Florida",114,1
11/25/2000,"Cordoba, Spain",2,1
1/14/2001,"Near Lake Point, Utah",9,9
1/23/2001,"Eider Point, Alaska",2,2
1/25/2001,"Ciudad Bolivar, Venezuela",24,24
1/27/2001,"Byers, Colorado",10,10
1/31/2001,"El Yopal, Colombia",6,3
2/8/2001,"Beaver Island, Minnesota",6,2
2/8/2001,"Nurnberg, Germany",3,3
2/10/2001,"Jakobkondre, Suriname",10,10
2/27/2001,"Near Granton Harbour, Scotland",2,2
3/2/2001,"Rio Azul Farm, Brazil",6,6
3/3/2001,"Bangkok, Thailand",5,1
3/3/2001,"Unadilla, Georgia",21,21
3/15/2001,"Medina, Saudi Arabia",174,3
3/17/2001,"Near Lubango, Angola",17,16
3/24/2001,"Gustavia, St. Barthélémy, French West Indies",19,19
3/26/2001,"Jadura, Indonesia",3,3
3/29/2001,"Near Aspen, Colorado",18,18
4/2/2001,"Ashbaubenon, Wisconsin",1,1
4/4/2001,"Adar Yeil, Sudan",30,14
4/7/2001,"Thanh Tranh Village, Vietnam",16,16
4/28/2001,"Near Roque Perez, Argentina",10,10
