EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,EVENT_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,STATE_ABBR
5130253,CLEVELAND CO.,NORMAN,1/3/2000,Lightning,0,0,3000,OK
5130255,JOHNSTON CO.,NIDA,1/3/2000,Lightning,0,0,100000,OK
5130254,MURRAY CO.,DAVIS,1/3/2000,Lightning,0,0,15000,OK
5127183,OZARK CO.,GAINESVILLE,1/3/2000,Lightning,0,0,70000,MO
5128716,CRAIGHEAD CO.,BONO,1/3/2000,Lightning,0,0,10000,AR
5130327,ITAWAMBA CO.,TREMONT,1/23/2000,Lightning,0,0,10,MS
5132586,HENDERSON CO.,TUXEDO,2/12/2000,Lightning,0,0,0,NC
5132594,SPARTANBURG CO.,BOILING SPGS,2/12/2000,Lightning,0,0,0,SC
5134356,RANDOLPH CO.,GRAHAM,2/13/2000,Lightning,0,0,10000,AL
5126802,LUMPKIN CO.,CHESTATEE,2/13/2000,Lightning,0,51,0,GA
5128587,SULLIVAN CO.,BLUFF CITY,2/14/2000,Lightning,0,0,25000,TN
5132502,OKALOOSA CO.,SHALIMAR,2/14/2000,Lightning,0,1,0,FL
5135470,CHOCTAW CO.,HUGO,2/17/2000,Lightning,0,0,5000,OK
5130282,CLEVELAND CO.,MOORE,2/17/2000,Lightning,0,0,10000,OK
5132444,HAMILTON CO.,CINCINNATI,2/18/2000,Lightning,0,0,100000,OH
5132851,MCPHERSON CO.,MC PHERSON,2/22/2000,Lightning,0,0,10000,KS
5130285,DEWEY CO.,OAKWOOD,2/25/2000,Lightning,0,0,2000,OK
5130284,GARVIN CO.,PAULS VALLEY,2/25/2000,Lightning,0,0,2000,OK
5132275,GRANT CO.,MILBANK,2/25/2000,Lightning,0,0,0,SD
5136384,NOLAN CO.,BLACKWELL,3/1/2000,Lightning,0,0,8500,TX
5136026,RIVERSIDE CO.,NORCO,3/3/2000,Lightning,0,3,0,CA
5136024,ORANGE CO.,NEWPORT BEACH,3/3/2000,Lightning,0,0,50000,CA
5137908,DENTON CO.,DENTON,3/8/2000,Lightning,0,0,125000,TX
